Vgene	clone_id	Isotype	Sample	Time	Min_num
IGHV3-9	36377	IgM	data-IgM	78	100
IGHV4-144	2119207	IgM	data-IgM	78	100
IGHV4-NL_3	1848912	IgM	data-IgM	78	100
IGHV3-88	959584	IgM	data-IgM	78	100
IGHV4-149	2052856	IgM	data-IgM	78	100
IGHV4-NL_3	1620869	IgM	data-IgM	78	100
IGHV4-NL_10	1916563	IgM	data-IgM	78	100
IGHV4-NL_13	2409908	IgM	data-IgM	78	100
IGHV4-NL_3	1131003	IgM	data-IgM	78	100
IGHV5-157	1000148	IgM	data-IgM	78	100
IGHV4-117	2398024	IgM	data-IgM	78	100
IGHV4-NL_10	260702	IgM	data-IgM	78	100
IGHV4-144	1546335	IgM	data-IgM	78	100
IGHV3-88	919474	IgM	data-IgM	78	100
IGHV4-NL_3	1744323	IgM	data-IgM	78	100
IGHV3-NL_10	130771	IgM	data-IgM	78	100
IGHV4-NL_33	2007534	IgM	data-IgM	78	100
IGHV3-88	1485925	IgM	data-IgM	78	100
IGHV4-NL_4	1169306	IgM	data-IgM	78	100
IGHV3-NL_19	35803	IgM	data-IgM	78	100
IGHV4-NL_29	2282466	IgM	data-IgM	78	100
IGHV4-NL_28	77666	IgM	data-IgM	78	100
IGHV3-NL_10	1778082	IgM	data-IgM	78	100
IGHV4-NL_3	168524	IgM	data-IgM	78	100
IGHV4-NL_10	968028	IgM	data-IgM	78	100
IGHV4-NL_4	662853	IgM	data-IgM	78	100
IGHV4-NL_16	2076941	IgM	data-IgM	78	100
IGHV3-NL_17	562759	IgM	data-IgM	78	100
IGHV4-144	81417	IgM	data-IgM	78	100
IGHV4-NL_3	1744593	IgM	data-IgM	78	100
IGHV4-NL_3	1514637	IgM	data-IgM	78	100
IGHV3-NL_17	2241834	IgM	data-IgM	78	100
IGHV4-NL_3	1132559	IgM	data-IgM	78	100
IGHV4-117	726225	IgM	data-IgM	78	100
IGHV3-88	1127847	IgM	data-IgM	78	100
IGHV4-NL_3	718006	IgM	data-IgM	78	100
IGHV3-NL_9	1355896	IgM	data-IgM	78	100
IGHV4-NL_22	610285	IgM	data-IgM	78	100
IGHV4-NL_4	1763567	IgM	data-IgM	78	100
IGHV4-NL_4	251627	IgM	data-IgM	78	100
IGHV4-149	2378280	IgM	data-IgM	78	100
IGHV4-NL_4	673953	IgM	data-IgM	78	100
IGHV4-NL_1	1319820	IgM	data-IgM	78	100
IGHV4-NL_3	1744322	IgM	data-IgM	78	100
IGHV4-NL_10	1078715	IgM	data-IgM	78	100
IGHV4-NL_3	546865	IgM	data-IgM	78	100
IGHV4-NL_3	1130457	IgM	data-IgM	78	100
IGHV4-NL_16	764230	IgM	data-IgM	78	100
IGHV4-NL_10	1903844	IgM	data-IgM	78	100
