clone_id	IsotypeList	Donor count	CDR3aa len
42760	IgM	1	12
42890	IgM	1	12
42891	IgM	1	12
42892	IgM	1	12
42893	IgM	1	12
43133	IgM	1	12
43251	IgM	1	12
43252	IgM	1	12
43723	IgM	1	12
43724	IgM	1	12
43725	IgM	1	12
43726	IgM	1	12
43727	IgM	1	12
43728	IgM	1	12
43784	IgM	1	12
43785	IgM	1	12
43810	IgM	1	12
43811	IgM	1	12
43812	IgM	1	12
43813	IgM	1	12
43814	IgM	1	12
43815	IgM	1	12
43816	IgM	1	12
43817	IgM	1	12
43818	IgM	1	12
43819	IgM	1	12
43820	IgM	1	12
43821	IgM	1	12
43822	IgM	1	12
43823	IgM	1	12
43824	IgM	1	12
43825	IgM	1	12
43826	IgM	1	12
43895	IgM	1	12
43927	IgM	1	12
43979	IgM	1	12
44086	IgM	1	12
44087	IgM	1	12
44088	IgM	1	12
44089	IgM	1	12
44230	IgM	1	12
44231	IgM	1	12
44473	IgM	1	12
44474	IgM	1	12
44475	IgM	1	12
44476	IgM	1	12
44477	IgM	1	12
44713	IgM	1	12
44714	IgM	1	12
44715	IgM	1	12
44716	IgM	1	12
44717	IgM	1	12
44861	IgM	1	12
44862	IgM	1	12
44863	IgM	1	12
44864	IgM	1	12
44865	IgM	1	12
44866	IgM	1	12
44867	IgM	1	12
44868	IgM	1	12
44869	IgM	1	12
44918	IgM	1	12
45112	IgM	1	12
45113	IgM	1	12
45114	IgM	1	12
45115	IgM	1	12
45155	IgM	1	12
45213	IgM	1	12
45370	IgM	1	12
45534	IgM	1	12
45535	IgM	1	12
45536	IgM	1	12
45537	IgM	1	12
45538	IgM	1	12
45539	IgM	1	12
45540	IgM	1	12
45541	IgM	1	12
45542	IgM	1	12
45543	IgM	2	12
45544	IgM	1	12
45545	IgM	1	12
45546	IgM	1	12
45547	IgM	1	12
45653	IgM	1	12
45809	IgM	1	12
45999	IgM	1	12
46000	IgM	1	12
46001	IgM	1	12
46002	IgM	1	12
46003	IgM	1	12
46004	IgM	1	12
46005	IgM	1	12
46006	IgM	1	12
46007	IgM	1	12
46008	IgM	1	12
46009	IgM	1	12
46010	IgM	1	12
46011	IgM	1	12
46012	IgM	1	12
46013	IgM	1	12
46014	IgM	1	12
46015	IgM	1	12
46016	IgM	1	12
46017	IgM	1	12
46018	IgM	1	12
46019	IgM	1	12
46020	IgM	1	12
46021	IgM|IgA	1	12
46022	IgM	1	12
46023	IgM	1	12
46024	IgM	1	12
46025	IgM	1	12
46026	IgM	1	12
46027	IgM	1	12
46028	IgM	1	12
46265	IgM	1	12
46613	IgM|IgA	1	12
47317	IgM	1	12
