clone_id	SHM	SHM count	Donor count	Donor	Tissue	Isotype
267330	0.04395604395604396	12.0	1.0	CCM2	BM	IgM
267389	0.0	0.0	1.0	CCM2	BM	IgM
267634	0.022222222222222223	6.0	1.0	CCM2	BM	IgM
267661	0.022222222222222223	6.0	1.0	CCM2	BM	IgM
267750	0.0	0.0	1.0	CCM2	BM	IgM
267846	0.04411764705882353	12.0	1.0	CCM2	BM	IgM
267850	0.034313725490196074	9.333333333333334	1.0	CCM2	BM	IgM
267863	0.02973977695167286	8.0	1.0	CCM2	BM	IgM
267864	0.05555555555555555	15.0	1.0	CCM2	BM	IgM
267865	0.07037037037037037	19.0	1.0	CCM2	BM	IgM
267866	0.037037037037037035	10.0	1.0	CCM2	BM	IgM
268108	0.05166051660516605	14.0	1.0	CCM2	BM	IgM
268109	0.011152416356877323	3.0	1.0	CCM2	BM	IgM
268110	0.07352941176470588	20.0	1.0	CCM2	BM	IgM
268178	0.12867647058823528	35.0	1.0	CCM2	BM	IgM
268195	0.05514705882352941	15.0	1.0	CCM2	BM	IgM
268208	0.0	0.0	1.0	CCM2	BM	IgM
268212	0.058823529411764705	16.0	1.0	CCM2	BM	IgM
268223	0.08955223880597014	24.0	1.0	CCM2	BM	IgM
268224	0.0	0.0	1.0	CCM2	BM	IgM
268225	0.0037174721189591068	1.0	1.0	CCM2	BM	IgM
268226	0.029629629629629627	8.0	1.0	CCM2	BM	IgM
268227	0.0	0.0	1.0	CCM2	BM	IgM
268228	0.0661764705882353	18.0	1.0	CCM2	BM	IgM
268229	0.033582089552238806	9.0	1.0	CCM2	BM	IgM
268230	0.06296296296296296	17.0	1.0	CCM2	BM	IgM
268231	0.10294117647058823	28.0	1.0	CCM2	BM	IgM
268232	0.003703703703703704	1.0	1.0	CCM2	BM	IgM
268233	0.0	0.0	1.0	CCM2	BM	IgM
268234	0.03676470588235294	10.0	2.0	CCM2	BM	IgM
268235	0.0	0.0	1.0	CCM2	BM	IgM
268236	0.0	0.0	1.0	CCM2	BM	IgM
268237	0.0	0.0	1.0	CCM2	BM	IgM
268238	0.04779411764705882	13.0	1.0	CCM2	BM	IgM
268239	0.01107011070110701	3.0	1.0	CCM2	BM	IgM
268240	0.07720588235294118	21.0	1.0	CCM2	BM	IgM
268241	0.007407407407407408	2.0	1.0	CCM2	BM	IgM
268242	0.0	0.0	1.0	CCM2	BM	IgM
268243	0.0	0.0	1.0	CCM2	BM	IgM
269359	0.04411764705882353	12.0	1.0	CCM2	BM	IgM
269360	0.0	0.0	1.0	CCM2	BM	IgM
269361	0.0	0.0	1.0	CCM2	BM	IgM
269872	0.0	0.0	1.0	CCM2	BM	IgM
